Hakem ID,İsim,Uzmanlık Alanları,Geçmiş Proje Başlıkları,cleaned_expertise,cleaned_past_projects,bert_input
172,Doç. Dr. Cem Karaca,"Nöroetik, Yapay Zeka ve Etik, Nörobilim Felsefesi","Yapay Zeka Destekli Nöroetik Karar Sistemleri, Bilinç ve Yapay Zeka İlişkisi, Beyin-Etik Etkileşimi Üzerine Kuramsal Yaklaşımlar",nöroetik yapay zeka etik nörobilim felsefesi,yapay zeka destekli nöroetik karar sistemleri bilinç yapay zeka i lişkisi beyin etik etkileşimi üzerine kuramsal yaklaşımlar,nöroetik yapay zeka etik nörobilim felsefesi yapay zeka destekli nöroetik karar sistemleri bilinç yapay zeka i lişkisi beyin etik etkileşimi üzerine kuramsal yaklaşımlar
173,Prof. Dr. Arzu Demir,"Pediatrik Onkoloji, Genetik Tarama, Kanser Epidemiyolojisi","Çocukluk Çağı Kanserlerinde Genetik Risk Faktörleri, Pediatrik Onkolojide Tanısal Genetik, Kanser Tarama Programlarında Genetik Yaklaşımlar",pediatrik onkoloji genetik tarama kanser epidemiyolojisi,çocukluk çağı kanserlerinde genetik risk faktörleri pediatrik onkolojide tanısal genetik kanser tarama programlarında genetik yaklaşımlar,pediatrik onkoloji genetik tarama kanser epidemiyolojisi çocukluk çağı kanserlerinde genetik risk faktörleri pediatrik onkolojide tanısal genetik kanser tarama programlarında genetik yaklaşımlar
174,Doç. Dr. Hakan Uysal,"Adli Tıp, Genetik Kimliklendirme, Biyoinformatik","DNA Profilleme ve Suç Çözümleme, Biyoinformatik Destekli Kimlik Belirleme, Adli Olaylarda Genetik Delillerin Analizi",adli tıp genetik kimliklendirme biyoinformatik,dna profilleme suç çözümleme biyoinformatik destekli kimlik belirleme adli olaylarda genetik delillerin analizi,adli tıp genetik kimliklendirme biyoinformatik dna profilleme suç çözümleme biyoinformatik destekli kimlik belirleme adli olaylarda genetik delillerin analizi
175,Prof. Dr. Melis Çelik,"Mikrobiyom, Gastrointestinal Sistem, Metabolik Entegrasyon","Bağırsak Mikrobiyotasında Fonksiyonel Çeşitlilik, Mikrobiyom-Obezite İlişkisi, Mikrobiyal Etkileşimlerin Metabolik Yansımaları",mikrobiyom gastrointestinal sistem metabolik entegrasyon,bağırsak mikrobiyotasında fonksiyonel çeşitlilik mikrobiyom obezite i lişkisi mikrobiyal etkileşimlerin metabolik yansımaları,mikrobiyom gastrointestinal sistem metabolik entegrasyon bağırsak mikrobiyotasında fonksiyonel çeşitlilik mikrobiyom obezite i lişkisi mikrobiyal etkileşimlerin metabolik yansımaları
176,Doç. Dr. Tolga Eren,"Yaşlanma Biyolojisi, Epigenetik Saat, Hücre Düzeyinde Zamanlama","Epigenetik Yaşlanma Belirteçleri, Yaşlanma Sürecinde Genetik Dinamikler, Moleküler Yaşlanma Saatinin Modellenmesi",yaşlanma biyolojisi epigenetik saat hücre düzeyinde zamanlama,epigenetik yaşlanma belirteçleri yaşlanma sürecinde genetik dinamikler moleküler yaşlanma saatinin modellenmesi,yaşlanma biyolojisi epigenetik saat hücre düzeyinde zamanlama epigenetik yaşlanma belirteçleri yaşlanma sürecinde genetik dinamikler moleküler yaşlanma saatinin modellenmesi
177,Prof. Dr. Barış Akçay,"Farmakogenetik, Kişiselleştirilmiş Tıp, Genomik","İlaç Metabolizmasında Genetik Varyasyonlar, Kişiye Özel Tedavi Protokolleri, Genetik Profil Bazlı İlaç Geliştirme",farmakogenetik kişiselleştirilmiş tıp genomik,i laç metabolizmasında genetik varyasyonlar kişiye özel tedavi protokolleri genetik profil bazlı i laç geliştirme,farmakogenetik kişiselleştirilmiş tıp genomik i laç metabolizmasında genetik varyasyonlar kişiye özel tedavi protokolleri genetik profil bazlı i laç geliştirme
178,Doç. Dr. Ekin Güler,"Nöroimmunoloji, Mikrogliyal Aktivite, İltihabi Hastalıklar","Multipl Sklerozda Mikrogliya Rolü, Nöroinflamasyonun Biyobelirteçleri, Otoimmün Nörolojik Hastalıklar",nöroimmunoloji mikrogliyal aktivite i ltihabi hastalıklar,multipl sklerozda mikrogliya rolü nöroinflamasyonun biyobelirteçleri otoimmün nörolojik hastalıklar,nöroimmunoloji mikrogliyal aktivite i ltihabi hastalıklar multipl sklerozda mikrogliya rolü nöroinflamasyonun biyobelirteçleri otoimmün nörolojik hastalıklar
179,Prof. Dr. Murat Yüce,"Klinik Genetik, Nadir Hastalıklar, Genom Dizileme","Exom Dizileme ile Nadir Hastalık Tanısı, Genetik Danışmanlık Uygulamaları, Monogenik Bozuklukların Klinik Profili",klinik genetik nadir hastalıklar genom dizileme,exom dizileme nadir hastalık tanısı genetik danışmanlık uygulamaları monogenik bozuklukların klinik profili,klinik genetik nadir hastalıklar genom dizileme exom dizileme nadir hastalık tanısı genetik danışmanlık uygulamaları monogenik bozuklukların klinik profili
180,Doç. Dr. Duygu Kaya,"Endüstriyel Biyoteknoloji, Sentetik Biyoloji, Biyoüretim","Genetik Mühendislik ile Biyo-yakıt Üretimi, Endüstriyel Enzim Tasarımı, Sentetik Devrelerin Tasarımı",endüstriyel biyoteknoloji sentetik biyoloji biyoüretim,genetik mühendislik biyo yakıt üretimi endüstriyel enzim tasarımı sentetik devrelerin tasarımı,endüstriyel biyoteknoloji sentetik biyoloji biyoüretim genetik mühendislik biyo yakıt üretimi endüstriyel enzim tasarımı sentetik devrelerin tasarımı
181,Prof. Dr. Ferhat Demir,"Psikofarmakoloji, Davranışsal Nörobilim, Ruh Sağlığı","Antidepresanların Nörobiyolojik Etkileri, Nörokognitif Bozukluklarda İlaç Yanıtları, Davranışsal Testlerle İlaç Geliştirme",psikofarmakoloji davranışsal nörobilim ruh sağlığı,antidepresanların nörobiyolojik etkileri nörokognitif bozukluklarda i laç yanıtları davranışsal testlerle i laç geliştirme,psikofarmakoloji davranışsal nörobilim ruh sağlığı antidepresanların nörobiyolojik etkileri nörokognitif bozukluklarda i laç yanıtları davranışsal testlerle i laç geliştirme
182,Doç. Dr. Ayça Yıldız,"Genetik Epidemiyoloji, Popülasyon Genetiği, Veri Madenciliği","Genetik Varyantların Hastalık Riskine Etkisi, Büyük Veri ile Genetik Haritalama, Popülasyon Temelli Genetik Çalışmalar",genetik epidemiyoloji popülasyon genetiği veri madenciliği,genetik varyantların hastalık riskine etkisi büyük veri genetik haritalama popülasyon temelli genetik çalışmalar,genetik epidemiyoloji popülasyon genetiği veri madenciliği genetik varyantların hastalık riskine etkisi büyük veri genetik haritalama popülasyon temelli genetik çalışmalar
183,Prof. Dr. Levent Arı,"Moleküler Onkoloji, Hücre Sinyal Yolları, Apoptoz","MAPK Sinyal Yolunda Genetik Değişiklikler, Kanserde Programlanmış Hücre Ölümü, Onkogen ve Tümör Baskılayıcı Genlerin Etkileşimi",moleküler onkoloji hücre sinyal yolları apoptoz,mapk sinyal yolunda genetik değişiklikler kanserde programlanmış hücre ölümü onkogen tümör baskılayıcı genlerin etkileşimi,moleküler onkoloji hücre sinyal yolları apoptoz mapk sinyal yolunda genetik değişiklikler kanserde programlanmış hücre ölümü onkogen tümör baskılayıcı genlerin etkileşimi
184,Doç. Dr. Eda Tekin,"Diş Hekimliği, Ağız-Diş-Çene Cerrahisi, Biyomalzeme","İmplant Yüzey Modifikasyonları, Biyouyumlu Dolgu Materyalleri, Kemik Rejenerasyonunda Biyomateryal Kullanımı",diş hekimliği ağız diş çene cerrahisi biyomalzeme,i mplant yüzey modifikasyonları biyouyumlu dolgu materyalleri kemik rejenerasyonunda biyomateryal kullanımı,diş hekimliği ağız diş çene cerrahisi biyomalzeme i mplant yüzey modifikasyonları biyouyumlu dolgu materyalleri kemik rejenerasyonunda biyomateryal kullanımı
185,Prof. Dr. Halil Koç,"Klinik Psikoloji, Nörogörüntüleme, Duygudurum Bozuklukları","Bipolar Bozuklukta Fonksiyonel MRI Analizi, Depresyonda Beyin Bağlantısallığı, Psikiyatrik Tanı İçin Görüntüleme Teknikleri",klinik psikoloji nörogörüntüleme duygudurum bozuklukları,bipolar bozuklukta fonksiyonel mri analizi depresyonda beyin bağlantısallığı psikiyatrik tanı i çin görüntüleme teknikleri,klinik psikoloji nörogörüntüleme duygudurum bozuklukları bipolar bozuklukta fonksiyonel mri analizi depresyonda beyin bağlantısallığı psikiyatrik tanı i çin görüntüleme teknikleri
186,Doç. Dr. Selda Acar,"Kadın Kanserleri, Moleküler Patoloji, Tümör Mikrosimülasyonu","Over Kanserinde Genetik Mutasyonlar, Meme Tümörlerinde Mikrosistem Modelleri, Kadın Kanserlerinde Moleküler Sınıflandırma",kadın kanserleri moleküler patoloji tümör mikrosimülasyonu,over kanserinde genetik mutasyonlar meme tümörlerinde mikrosistem modelleri kadın kanserlerinde moleküler sınıflandırma,kadın kanserleri moleküler patoloji tümör mikrosimülasyonu over kanserinde genetik mutasyonlar meme tümörlerinde mikrosistem modelleri kadın kanserlerinde moleküler sınıflandırma
187,Prof. Dr. Yusuf Karaman,"Nörokimya, Beyin Metabolizması, Nöroprotektif Ajanlar","Parkinson'da Dopaminerjik Sistem Bozuklukları, Beyin Hasarında Nörokimyasal Değişiklikler, Nöroprotektif Tedavi Araştırmaları",nörokimya beyin metabolizması nöroprotektif ajanlar,parkinson dopaminerjik sistem bozuklukları beyin hasarında nörokimyasal değişiklikler nöroprotektif tedavi araştırmaları,nörokimya beyin metabolizması nöroprotektif ajanlar parkinson dopaminerjik sistem bozuklukları beyin hasarında nörokimyasal değişiklikler nöroprotektif tedavi araştırmaları
188,Doç. Dr. Melek Soylu,"Fizyoloji, Egzersiz Bilimi, Hücre Adaptasyonu","Egzersizin Hücresel Yanıtları, İskelet Kasında Mitokondriyal Aktivite, Sporcu Sağlığında Moleküler İzleme",fizyoloji egzersiz bilimi hücre adaptasyonu,egzersizin hücresel yanıtları i skelet kasında mitokondriyal aktivite sporcu sağlığında moleküler i zleme,fizyoloji egzersiz bilimi hücre adaptasyonu egzersizin hücresel yanıtları i skelet kasında mitokondriyal aktivite sporcu sağlığında moleküler i zleme
189,Prof. Dr. Okan Yiğit,"Yapay Zeka, Medikal Karar Destek Sistemleri, Derin Öğrenme","Tıbbi Görüntü Analizinde CNN Uygulamaları, Klinik Karar Sistemleri için Yapay Zeka, Derin Öğrenme ile Otomatik Tanı",yapay zeka medikal karar destek sistemleri derin öğrenme,tıbbi görüntü analizinde cnn uygulamaları klinik karar sistemleri yapay zeka derin öğrenme otomatik tanı,yapay zeka medikal karar destek sistemleri derin öğrenme tıbbi görüntü analizinde cnn uygulamaları klinik karar sistemleri yapay zeka derin öğrenme otomatik tanı
190,Doç. Dr. Cansu Erdem,"Çocuk Nörolojisi, EEG Analizi, Nörogelişim","Pediatrik Epilepsi Tiplerinin EEG ile Tanısı, Otizm Spektrumunda Nörogelişimsel Göstergeler, Çocukluk Çağı EEG Veri Analizi",çocuk nörolojisi eeg analizi nörogelişim,pediatrik epilepsi tiplerinin eeg tanısı otizm spektrumunda nörogelişimsel göstergeler çocukluk çağı eeg veri analizi,çocuk nörolojisi eeg analizi nörogelişim pediatrik epilepsi tiplerinin eeg tanısı otizm spektrumunda nörogelişimsel göstergeler çocukluk çağı eeg veri analizi
191,Prof. Dr. Harun Sezer,"Metabolik Hastalıklar, Beslenme Genetiği, Lipid Metabolizması","Obezitede Genetik Faktörlerin Rolü, Lipid Profili ve Genetik Korelasyonlar, Beslenmeye Genetik Uyumun Araştırılması",metabolik hastalıklar beslenme genetiği lipid metabolizması,obezitede genetik faktörlerin rolü lipid profili genetik korelasyonlar beslenmeye genetik uyumun araştırılması,metabolik hastalıklar beslenme genetiği lipid metabolizması obezitede genetik faktörlerin rolü lipid profili genetik korelasyonlar beslenmeye genetik uyumun araştırılması
192,Doç. Dr. Nisa Tunalı,"Nöroanatomi, Fonksiyonel Görüntüleme, Beyin Haritalama","Fonksiyonel MRI ile Beyin Haritalama, Kortikal Alanların Yapısal Özellikleri, Nöroanatomik Bağlantıların Görüntülenmesi",nöroanatomi fonksiyonel görüntüleme beyin haritalama,fonksiyonel mri beyin haritalama kortikal alanların yapısal özellikleri nöroanatomik bağlantıların görüntülenmesi,nöroanatomi fonksiyonel görüntüleme beyin haritalama fonksiyonel mri beyin haritalama kortikal alanların yapısal özellikleri nöroanatomik bağlantıların görüntülenmesi
193,Prof. Dr. Erman Gök,"İmmünogenetik, Alerji, Moleküler Tanı","Alerjik Hastalıklarda Genetik Duyarlılık, İmmün Sistem Polimorfizmleri, Moleküler Alerjen Profillemesi",i mmünogenetik alerji moleküler tanı,alerjik hastalıklarda genetik duyarlılık i mmün sistem polimorfizmleri moleküler alerjen profillemesi,i mmünogenetik alerji moleküler tanı alerjik hastalıklarda genetik duyarlılık i mmün sistem polimorfizmleri moleküler alerjen profillemesi
194,Doç. Dr. Zeliha Baydar,"Endokrinoloji, Tiroid Hastalıkları, Metabolik Sendrom","Tiroid Nodüllerinde Moleküler Tanı, Metabolik Bozuklukların Hormonal Temeli, Endokrin Hastalıklarda Genetik Varyasyonlar",endokrinoloji tiroid hastalıkları metabolik sendrom,tiroid nodüllerinde moleküler tanı metabolik bozuklukların hormonal temeli endokrin hastalıklarda genetik varyasyonlar,endokrinoloji tiroid hastalıkları metabolik sendrom tiroid nodüllerinde moleküler tanı metabolik bozuklukların hormonal temeli endokrin hastalıklarda genetik varyasyonlar
195,Prof. Dr. Emre Tunç,"Görüntü İşleme, Biyomedikal Cihazlar, Algoritma Geliştirme","Tıbbi Görüntülerde Segmentasyon Algoritmaları, Sensör Verisi ile Otomatik Teşhis, Görüntü İşlemeye Dayalı Cihaz Geliştirme",görüntü i şleme biyomedikal cihazlar algoritma geliştirme,tıbbi görüntülerde segmentasyon algoritmaları sensör verisi otomatik teşhis görüntü i şlemeye dayalı cihaz geliştirme,görüntü i şleme biyomedikal cihazlar algoritma geliştirme tıbbi görüntülerde segmentasyon algoritmaları sensör verisi otomatik teşhis görüntü i şlemeye dayalı cihaz geliştirme
196,Doç. Dr. Gülşah Kaplan,"Rejeneratif Nörobilim, Kök Hücre Teknolojisi, Doku Mühendisliği","Kök Hücrelerle Omurilik Hasarı Onarımı, Rejeneratif Tedavide 3D Baskı Uygulamaları, Sinir Dokusu Mühendisliği",rejeneratif nörobilim kök hücre teknolojisi doku mühendisliği,kök hücrelerle omurilik hasarı onarımı rejeneratif tedavide d baskı uygulamaları sinir dokusu mühendisliği,rejeneratif nörobilim kök hücre teknolojisi doku mühendisliği kök hücrelerle omurilik hasarı onarımı rejeneratif tedavide d baskı uygulamaları sinir dokusu mühendisliği
197,Prof. Dr. Veli Altun,"Halk Sağlığı, Epidemiyoloji, Sağlık Politikaları","Bulaşıcı Hastalıkların Yayılım Modelleri, Sağlık Sistemleri Karar Destek Araçları, Epidemiyolojik Tahmin Modelleri",halk sağlığı epidemiyoloji sağlık politikaları,bulaşıcı hastalıkların yayılım modelleri sağlık sistemleri karar destek araçları epidemiyolojik tahmin modelleri,halk sağlığı epidemiyoloji sağlık politikaları bulaşıcı hastalıkların yayılım modelleri sağlık sistemleri karar destek araçları epidemiyolojik tahmin modelleri
198,Doç. Dr. Pelin Karaca,"Nörofarmakoloji, İlaç Geliştirme, Hücre Kültürü","Nöroaktif Bileşiklerin Hücresel Etkileri, Sinaptik İletim Modülasyonu, Yeni Nörofarmasötiklerin Deneysel Testi",nörofarmakoloji i laç geliştirme hücre kültürü,nöroaktif bileşiklerin hücresel etkileri sinaptik i letim modülasyonu yeni nörofarmasötiklerin deneysel testi,nörofarmakoloji i laç geliştirme hücre kültürü nöroaktif bileşiklerin hücresel etkileri sinaptik i letim modülasyonu yeni nörofarmasötiklerin deneysel testi
199,Prof. Dr. İsmail Eroğlu,"Yapay Zeka, Robotik Cerrahi, Klinik Uygulama","Cerrahi Robotlarda Yapay Zeka Destekli Algoritmalar, Klinik Karar Sistemleri için Robotik Entegrasyon, Otomatik Cerrahi Planlama",yapay zeka robotik cerrahi klinik uygulama,cerrahi robotlarda yapay zeka destekli algoritmalar klinik karar sistemleri robotik entegrasyon otomatik cerrahi planlama,yapay zeka robotik cerrahi klinik uygulama cerrahi robotlarda yapay zeka destekli algoritmalar klinik karar sistemleri robotik entegrasyon otomatik cerrahi planlama
200,Doç. Dr. Tuğçe Arslan,"Moleküler Endokrinoloji, Hücre Sinyalizasyonu, Genetik Mutasyonlar","Hormon Reseptörlerinde Genetik Mutasyonlar, Hücre İçi Sinyal İletimi Bozuklukları, Endokrin Tümörlerin Genetik Analizi",moleküler endokrinoloji hücre sinyalizasyonu genetik mutasyonlar,hormon reseptörlerinde genetik mutasyonlar hücre i çi sinyal i letimi bozuklukları endokrin tümörlerin genetik analizi,moleküler endokrinoloji hücre sinyalizasyonu genetik mutasyonlar hormon reseptörlerinde genetik mutasyonlar hücre i çi sinyal i letimi bozuklukları endokrin tümörlerin genetik analizi
201,Prof. Dr. Ayşe Gürsoy,"Klinik Biyokimya, Metabolik Hastalıklar","Erken Evre Diyabet Tanısında Biyobelirteç Geliştirme, Fenilketonüri Hastalarında Metabolik Profil Analizi",klinik biyokimya metabolik hastalıklar,erken evre diyabet tanısında biyobelirteç geliştirme fenilketonüri hastalarında metabolik profil analizi,klinik biyokimya metabolik hastalıklar erken evre diyabet tanısında biyobelirteç geliştirme fenilketonüri hastalarında metabolik profil analizi
202,Doç. Dr. Cihan Taşkın,"Moleküler Biyoloji, Kanser Genetiği","BRCA Mutasyonlarının Meme Kanseri Üzerindeki Etkisi, Kanserde Kişiselleştirilmiş Tedavi Yaklaşımları",moleküler biyoloji kanser genetiği,brca mutasyonlarının meme kanseri üzerindeki etkisi kanserde kişiselleştirilmiş tedavi yaklaşımları,moleküler biyoloji kanser genetiği brca mutasyonlarının meme kanseri üzerindeki etkisi kanserde kişiselleştirilmiş tedavi yaklaşımları
203,Prof. Dr. Melis Erdem,"Halk Sağlığı, Aşı Politikaları","Aşı Reddi Eğilimlerinin Toplumsal Analizi, Türkiye'de Aşı Kampanyalarının Etkililiği",halk sağlığı aşı politikaları,aşı reddi eğilimlerinin toplumsal analizi türkiye aşı kampanyalarının etkililiği,halk sağlığı aşı politikaları aşı reddi eğilimlerinin toplumsal analizi türkiye aşı kampanyalarının etkililiği
204,Doç. Dr. Onur Sezgin,"Tıbbi Görüntüleme, Yapay Zeka","MR Görüntülerinden Beyin Tümörü Sınıflandırması, Derin Öğrenme ile Radyoloji Görüntü Analizi",tıbbi görüntüleme yapay zeka,mr görüntülerinden beyin tümörü sınıflandırması derin öğrenme radyoloji görüntü analizi,tıbbi görüntüleme yapay zeka mr görüntülerinden beyin tümörü sınıflandırması derin öğrenme radyoloji görüntü analizi
205,Prof. Dr. Gülten Yıldız,"Biyomedikal Mühendislik, Biyosensörler","Elektrokimyasal Biyosensörlerle Kanser Tanısı, Giyilebilir Sağlık Sensörleri",biyomedikal mühendislik biyosensörler,elektrokimyasal biyosensörlerle kanser tanısı giyilebilir sağlık sensörleri,biyomedikal mühendislik biyosensörler elektrokimyasal biyosensörlerle kanser tanısı giyilebilir sağlık sensörleri
206,Doç. Dr. Nejat Kaya,"Fizyoloji, Sinir Sistemi","Periferik Sinir Hasarlarının Elektriksel Rehabilitasyonu, Beyin-Sinir Ağlarının Haritalanması",fizyoloji sinir sistemi,periferik sinir hasarlarının elektriksel rehabilitasyonu beyin sinir ağlarının haritalanması,fizyoloji sinir sistemi periferik sinir hasarlarının elektriksel rehabilitasyonu beyin sinir ağlarının haritalanması
207,Prof. Dr. Elvan Bayraktar,"Beslenme ve Diyetetik, Obezite","Çocukluk Çağı Obezitesi ve Beslenme Alışkanlıkları, Fonksiyonel Gıdaların Sağlık Üzerindeki Etkisi",beslenme diyetetik obezite,çocukluk çağı obezitesi beslenme alışkanlıkları fonksiyonel gıdaların sağlık üzerindeki etkisi,beslenme diyetetik obezite çocukluk çağı obezitesi beslenme alışkanlıkları fonksiyonel gıdaların sağlık üzerindeki etkisi
208,Doç. Dr. Fikret Tandoğan,"Psikiyatri, Nörobilim","Depresyonun Nörokimyasal Temelleri, Antidepresanların Bilişsel Fonksiyonlara Etkisi",psikiyatri nörobilim,depresyonun nörokimyasal temelleri antidepresanların bilişsel fonksiyonlara etkisi,psikiyatri nörobilim depresyonun nörokimyasal temelleri antidepresanların bilişsel fonksiyonlara etkisi
209,Prof. Dr. Sevilay Mutlu,"Kadın Hastalıkları ve Doğum, Perinatoloji","Yüksek Riskli Gebeliklerin Erken Tanısı, Doğum Öncesi Genetik Tarama Yöntemleri",kadın hastalıkları doğum perinatoloji,yüksek riskli gebeliklerin erken tanısı doğum öncesi genetik tarama yöntemleri,kadın hastalıkları doğum perinatoloji yüksek riskli gebeliklerin erken tanısı doğum öncesi genetik tarama yöntemleri
210,Doç. Dr. Burak Yiğit,"Eczacılık, Farmasötik Kimya","Yenilikçi Antibiyotik Formülasyonları, Kontrollü Salım Sistemleri",eczacılık farmasötik kimya,yenilikçi antibiyotik formülasyonları kontrollü salım sistemleri,eczacılık farmasötik kimya yenilikçi antibiyotik formülasyonları kontrollü salım sistemleri
211,Prof. Dr. Ayhan Er,"Ortopedi, Biyomekanik","Yapay Eklem Protezlerinde Malzeme Optimizasyonu, Spor Yaralanmalarında Rehabilitasyon Teknolojileri",ortopedi biyomekanik,yapay eklem protezlerinde malzeme optimizasyonu spor yaralanmalarında rehabilitasyon teknolojileri,ortopedi biyomekanik yapay eklem protezlerinde malzeme optimizasyonu spor yaralanmalarında rehabilitasyon teknolojileri
212,Doç. Dr. Derya Kalkan,"Hemşirelik, Kronik Hastalık Yönetimi","Evde Bakım Hizmetlerinde Teknoloji Kullanımı, Diyabetli Bireylerde Yaşam Kalitesi Ölçümü",hemşirelik kronik hastalık yönetimi,evde bakım hizmetlerinde teknoloji kullanımı diyabetli bireylerde yaşam kalitesi ölçümü,hemşirelik kronik hastalık yönetimi evde bakım hizmetlerinde teknoloji kullanımı diyabetli bireylerde yaşam kalitesi ölçümü
213,Prof. Dr. Haluk Günay,"Acil Tıp, Toksikoloji","Zehirlenme Vakalarının Klinik Yönetimi, Acil Servislerde Yapay Zeka Destekli Triage Sistemi",acil tıp toksikoloji,zehirlenme vakalarının klinik yönetimi acil servislerde yapay zeka destekli triage sistemi,acil tıp toksikoloji zehirlenme vakalarının klinik yönetimi acil servislerde yapay zeka destekli triage sistemi
214,Doç. Dr. Ece Durmuş,"Sağlık Bilişimi, Mobil Sağlık Uygulamaları","Kronik Hastalık Takibi için mHealth Sistemleri, Hasta Geri Bildirim Sistemlerinin Optimizasyonu",sağlık bilişimi mobil sağlık uygulamaları,kronik hastalık takibi mhealth sistemleri hasta geri bildirim sistemlerinin optimizasyonu,sağlık bilişimi mobil sağlık uygulamaları kronik hastalık takibi mhealth sistemleri hasta geri bildirim sistemlerinin optimizasyonu
215,Prof. Dr. Tuncay Öztürk,"Tıbbi Mikrobiyoloji, Antibiyotik Direnci","Yoğun Bakım Ünitesinde Multidirençli Bakteri İzolasyonu, Yeni Antimikrobiyal Moleküllerin Testi",tıbbi mikrobiyoloji antibiyotik direnci,yoğun bakım ünitesinde multidirençli bakteri i zolasyonu yeni antimikrobiyal moleküllerin testi,tıbbi mikrobiyoloji antibiyotik direnci yoğun bakım ünitesinde multidirençli bakteri i zolasyonu yeni antimikrobiyal moleküllerin testi
216,Doç. Dr. Serap Koca,"Geriatri, Yaşlı Sağlığı","Yaşlılarda Düşme Risk Analizi, Polifarmasi Yönetim Sistemleri",geriatri yaşlı sağlığı,yaşlılarda düşme risk analizi polifarmasi yönetim sistemleri,geriatri yaşlı sağlığı yaşlılarda düşme risk analizi polifarmasi yönetim sistemleri
217,Prof. Dr. Veli Arslan,"Fiziksel Tıp ve Rehabilitasyon, Robotik Rehabilitasyon","Felçli Bireyler için Robot Destekli Terapi, Rehabilitasyonda Sanal Gerçeklik Kullanımı",fiziksel tıp rehabilitasyon robotik rehabilitasyon,felçli bireyler robot destekli terapi rehabilitasyonda sanal gerçeklik kullanımı,fiziksel tıp rehabilitasyon robotik rehabilitasyon felçli bireyler robot destekli terapi rehabilitasyonda sanal gerçeklik kullanımı
218,Doç. Dr. Duygu Ertem,"Diş Hekimliği, Periodontoloji","Periodontal Hastalıkların Sistemik Etkileri, Ağız Florasında Mikrobiyal Değişim",diş hekimliği periodontoloji,periodontal hastalıkların sistemik etkileri ağız florasında mikrobiyal değişim,diş hekimliği periodontoloji periodontal hastalıkların sistemik etkileri ağız florasında mikrobiyal değişim
219,Prof. Dr. Sibel Demirtaş,"Nöroloji, Parkinson Hastalığı","Parkinson’da Derin Beyin Stimülasyonu, Nörodejeneratif Hastalıklarda Yüz Tanıma Sistemleri",nöroloji parkinson hastalığı,parkinson derin beyin stimülasyonu nörodejeneratif hastalıklarda yüz tanıma sistemleri,nöroloji parkinson hastalığı parkinson derin beyin stimülasyonu nörodejeneratif hastalıklarda yüz tanıma sistemleri
220,Doç. Dr. Levent Karaca,"Aile Hekimliği, Birinci Basamak Sağlık Hizmetleri","Birinci Basamakta Tansiyon Takibi Sistemleri, Aile Sağlığı Merkezlerinde Dijital Kayıt",aile hekimliği birinci basamak sağlık hizmetleri,birinci basamakta tansiyon takibi sistemleri aile sağlığı merkezlerinde dijital kayıt,aile hekimliği birinci basamak sağlık hizmetleri birinci basamakta tansiyon takibi sistemleri aile sağlığı merkezlerinde dijital kayıt
221,Prof. Dr. Aslı Yalın,"Epidemiyoloji, Enfeksiyon Hastalıkları","Hastane Enfeksiyonlarının Yayılım Modellemesi, COVID-19 Sürecinde Temas Takibi",epidemiyoloji enfeksiyon hastalıkları,hastane enfeksiyonlarının yayılım modellemesi covid sürecinde temas takibi,epidemiyoloji enfeksiyon hastalıkları hastane enfeksiyonlarının yayılım modellemesi covid sürecinde temas takibi
222,Doç. Dr. Gökhan Temiz,"Sağlık Ekonomisi, Sağlık Politikaları","Tedavi Maliyet Etkililiği Modelleri, Türkiye’de Sağlık Harcamalarının Analizi",sağlık ekonomisi sağlık politikaları,tedavi maliyet etkililiği modelleri türkiye sağlık harcamalarının analizi,sağlık ekonomisi sağlık politikaları tedavi maliyet etkililiği modelleri türkiye sağlık harcamalarının analizi
223,Prof. Dr. Duygu Bilge,"Pediatri, Yenidoğan Yoğun Bakım","Prematüre Bebeklerde Solunum Yönetimi, Yenidoğanlarda Enfeksiyon Risk Analizi",pediatri yenidoğan yoğun bakım,prematüre bebeklerde solunum yönetimi yenidoğanlarda enfeksiyon risk analizi,pediatri yenidoğan yoğun bakım prematüre bebeklerde solunum yönetimi yenidoğanlarda enfeksiyon risk analizi
224,Doç. Dr. Elif Çetin,"Radyoloji, Tıbbi Görüntü İşleme","Tomografi Görüntülerinde Lezyon Sınıflandırması, Düşük Doz X-Ray ile Görüntü Kalitesi Artırımı",radyoloji tıbbi görüntü i şleme,tomografi görüntülerinde lezyon sınıflandırması düşük doz x ray görüntü kalitesi artırımı,radyoloji tıbbi görüntü i şleme tomografi görüntülerinde lezyon sınıflandırması düşük doz x ray görüntü kalitesi artırımı
225,Prof. Dr. Barış Yücel,"Psikoloji, Bağımlılık Araştırmaları","Gençlerde Dijital Oyun Bağımlılığı, Madde Bağımlılığı ile Bilişsel Performans İlişkisi",psikoloji bağımlılık araştırmaları,gençlerde dijital oyun bağımlılığı madde bağımlılığı bilişsel performans i lişkisi,psikoloji bağımlılık araştırmaları gençlerde dijital oyun bağımlılığı madde bağımlılığı bilişsel performans i lişkisi
